Company,cik
MANHATTAN ASSOCIATES INC,0001056696
MARIN SOFTWARE INC,0001389002
MAX SOUND CORP,0001353499
MEDALLIA INC,0001540184
MEDALLIANCE INC,
MEDIATECHNICS CORP,
MGT CAPITAL INVESTMENTS INC,0001001601
MICROSOFT CORP,0000789019
MICROSTRATEGY INC,0001050446
MITEK SYSTEMS INC,0000807863
MIX TELEMATICS LTD,0001576914
MOBILEIRON INC,0001470099
MODEL N INC,0001118417
MONGODB INC,0001441816
MONSTER ARTS,0001423746
NCINO INC,0001902733
NEOMEDIA TECHNOLOGIES INC,0001022701
NETSOL TECHNOLOGIES INC,0001039280
NEW RELIC INC,0001448056
NORTONLIFELOCK INC,0000849399
NOTIFY TECHNOLOGY CORP,0001031980
NUANCE COMMUNICATIONS INC,0001002517
NUTANIX INC,0001618732
OBLONG INC,0000746210
OKTA INC,0001660134
OMTOOL LTD,0001020579
ONESPAN INC,0001044777
ORACLE CORP,0001341439
PAGERDUTY INC,0001568100
PAID INC,0001017655
PALANTIR TECHNOLOG INC,0001321655
PALO ALTO NETWORKS INC,0001327567
PARETEUM CORP,0001084384
PARK CITY GROUP INC,0000050471
PAYBOX CORP,0000879703
PAYCHEX INC,0000723531
PAYCOM SOFTWARE INC,0001590955
PAYLOCITY HOLDING CORP,0001591698
PEGASYSTEMS INC,0001013857
PHUNWARE INC,0001665300
PING IDENTITY HOLDING CORP,0001679826
PLURALSIGHT INC,0001725579
PRIMAL SOLUTIONS INC,0001124217
PROGRESS SOFTWARE CORP,0000876167
PROOFPOINT INC,0001212458
PROS HOLDINGS INC,0001392972
PTC INC,0000857005
PULSE EVOLUTION CORP,0001583138
Q2 HOLDINGS INC,0001410384
QAD INC,0001036188
QUALYS INC,0001107843
QUANTGATE SYSTEMS INC,
QUMU CORP,0000892482
RAADR INC,0001384365
RAND WORLDWIDE INC,0000852437
RAPID7 INC,0001560327
REALNETWORKS INC,0001046327
REALPAGE INC,0001286225
RIGHTSCORP INC,0001506270
RINGCENTRAL INC,0001384905
RIOT BLOCKCHAIN INC,0001167419
ROCKETFUEL BLOCKCHAIN INC,0000823546
RORINE INTL HOLDING CORP,
ROSETTA STONE INC,0001351285
SAILPOINT TECHNO HLDG,
SALESFORCE.COM INC,0001108524
SCIENT INC,0001158019
SEACHANGE INTERNATIONAL INC,0001019671
SECUREWORKS CORP,0001468666
SERVICENOW INC,0001373715
SHARPSPRING INC,0001506439
SHOTSPOTTER INC,0001362853
SIMTROL INC,0000846775
SITO MOBILE LTD,0001157817
SKYBOX INTL INC,
SLACK TECHNOLOGIES INC,0001764925
SMARTMETRIC INC,0001301991
SMARTSHEET INC,0001366561
SMITH MICRO SOFTWARE INC,0000948708
SNOWFLAKE INC,0001640147
SOFTECH INC,0000354260
SOLARWINDS CORP,0001739942
SONIC FOUNDRY INC,0001029744
SPLUNK INC,0001353283
SPROUT SOCIAL INC,0001517375
SPS COMMERCE INC,0001092699
SS&C TECHNOLOGIES HLDGS INC,
SSI INVESTMENTS II LTD,0001501919
SUMO LOGIC INC,0001643269
SVMK INC,0001739936
SYNACOR INC,0001210634
SYNCHRONOSS TECHNOLOGIES,0001131554
SYNOPSYS INC,0000883241
TAUTACHROME INC,0001389067
TELENAV INC,0001353536
TENABLE HOLDINGS INC,0001660280
TERADATA CORP,0000816761
THEGLOBE.COM INC,
TIBCO SOFTWARE INC,0001085280
TINTRI INC,0001554875
TMM INC,0000939652
TRADE DESK INC,0001671933
TWILIO INC,0001447669
TYLER TECHNOLOGIES INC,0000860731
ULTIMATE SOFTWARE GROUP INC,0001016125
UNITRONIX CORP,0000835270
UNITY SOFTWARE INC,0001810806
UPLAND SOFTWARE INC,0001505155
VANCORD CAPITAL INC,
VARONIS SYSTEMS INC,0001361113
VDO-PH INTERNATIONAL INC,
VEEVA SYSTEMS INC,0001393052
VERB TECHNOLOGY CO INC,0001566610
VERINT SYSTEMS INC,0001166388
VERITONE INC,0001615165
VERTEX INC,0001806837
VERTICAL COMPUTER SYS INC,0001099509
VIRNETX HOLDING CORP,0001082324
VIVA ENTERTAINMENT GROUP INC,0001479000
VMWARE INC -CL A,
VOYAGER DIGITAL LTD,0001827032
VUBOTICS INC,0001100981
WOD RETAIL SOLUTIONS,0000704366
WORKDAY INC,0001327811
WORKIVA INC,0001445305
XCELMOBILITY INC,0001465509
XPERI HOLDING CORP,0001803696
YAPPN CORP,0001511735
YEXT INC,0001614178
ZENDESK INC,0001463172
ZIX CORP,0000855612
ZOOM TELEPHONICS INC,0000822708
ZOOM VIDEO COMUNICATIONS INC,
ZOOMAWAY TRAVEL INC,0001541054
ZOOMINFO TECHNOLOGIES,0001794515
ZSCALER INC,0001713683
ZUORA INC,0001423774
